iter	Passed	Remaining
0	0	692
1	1	676
2	1	598
3	2	567
4	2	539
5	3	515
6	3	498
7	3	481
8	4	468
9	4	456
10	4	447
11	5	438
12	5	428
13	6	422
14	6	418
15	6	415
16	7	413
17	7	410
18	7	408
19	8	404
20	8	400
21	8	397
22	9	394
23	9	391
24	9	388
25	10	386
26	10	383
27	10	380
28	11	378
29	11	376
30	11	374
31	12	372
32	12	370
33	12	368
34	13	366
35	13	365
36	13	363
37	14	362
38	14	360
39	15	365
40	15	370
41	16	369
42	16	369
43	16	368
44	17	367
45	17	366
46	18	366
47	18	365
48	19	369
49	19	368
50	19	369
51	20	367
52	20	366
53	20	365
54	21	365
55	21	364
56	21	363
57	22	362
58	22	361
59	22	359
60	23	358
61	23	357
62	23	356
63	24	355
64	24	354
65	24	353
66	25	352
67	25	351
68	25	350
69	26	349
70	26	348
71	26	347
72	27	347
73	27	346
74	28	345
75	28	344
76	28	343
77	28	342
78	29	342
79	29	341
80	30	341
81	30	341
82	30	338
83	31	338
84	31	338
85	31	337
86	32	336
87	32	339
88	33	340
89	33	339
90	33	339
91	34	338
92	34	338
93	35	337
94	35	336
95	35	336
96	36	336
97	36	335
98	36	334
99	37	333
100	37	333
101	37	332
102	38	331
103	38	331
104	38	330
105	39	329
106	39	328
107	39	328
108	40	327
109	40	326
110	40	326
111	41	325
112	41	325
113	41	324
114	42	324
115	43	329
116	43	329
117	44	329
118	44	328
119	44	328
120	45	328
121	45	327
122	45	326
123	46	326
124	46	327
125	47	327
126	47	326
127	48	327
128	48	326
129	48	326
130	49	325
131	49	324
132	49	324
133	50	323
134	50	322
135	50	322
136	51	321
137	51	321
138	51	321
139	52	320
140	52	319
141	52	318
142	53	317
143	53	317
144	53	316
145	54	315
146	54	315
147	54	315
148	55	314
149	55	313
150	55	313
151	56	312
152	56	312
153	56	311
154	57	310
155	57	310
156	57	309
157	58	309
158	58	308
159	58	307
160	58	306
161	59	306
162	59	306
163	60	306
164	60	305
165	60	305
166	61	304
167	61	304
168	61	304
169	62	303
170	62	303
171	62	303
172	63	302
173	63	302
174	63	301
175	64	300
176	64	300
177	65	300
178	65	299
179	65	299
180	66	298
181	66	298
182	66	297
183	67	297
184	67	297
185	67	296
186	68	296
187	68	295
188	68	294
189	69	294
190	69	294
191	69	293
192	70	292
193	70	292
194	70	291
195	70	291
196	71	290
197	71	290
198	71	289
199	72	288
200	72	288
201	72	288
202	73	287
203	73	287
204	73	286
205	74	287
206	74	286
207	75	286
208	75	286
209	76	286
210	76	285
211	76	285
212	77	284
213	77	284
214	77	284
215	78	283
216	78	283
217	78	282
218	79	282
219	79	282
220	79	281
221	80	281
222	80	280
223	80	280
224	81	279
225	81	279
226	81	278
227	82	278
228	82	277
229	82	277
230	83	276
231	83	276
232	83	275
233	84	275
234	84	274
235	84	274
236	85	273
237	85	273
238	85	272
239	86	272
240	86	271
241	86	271
242	87	271
243	87	270
244	87	270
245	88	269
246	88	269
247	88	269
248	89	268
249	89	268
250	89	268
251	90	267
252	90	267
253	90	266
254	91	266
255	91	265
256	91	265
257	92	264
258	92	264
259	92	264
260	93	263
261	93	263
262	93	262
263	94	262
264	94	262
265	94	261
266	95	261
267	95	260
268	95	260
269	96	259
270	96	259
271	96	259
272	97	259
273	97	258
274	97	258
275	98	257
276	98	257
277	98	256
278	99	256
279	99	256
280	99	255
281	100	255
282	100	255
283	100	254
284	101	254
285	101	253
286	101	253
287	102	252
288	102	252
289	103	252
290	103	252
291	103	252
292	104	251
293	104	251
294	105	251
295	105	251
296	106	250
297	106	250
298	106	250
299	107	250
300	107	250
301	108	249
302	108	249
303	108	249
304	109	248
305	109	248
306	109	248
307	110	247
308	110	247
309	110	246
310	111	246
311	111	246
312	111	245
313	112	245
314	112	244
315	112	244
316	113	243
317	113	243
318	113	243
319	114	242
320	114	242
321	114	241
322	115	241
323	115	240
324	115	240
325	116	240
326	116	240
327	117	239
328	117	239
329	117	239
330	118	239
331	119	239
332	119	239
333	119	238
334	120	238
335	120	238
336	120	238
337	121	237
338	121	237
339	122	236
340	122	236
341	122	236
342	123	235
343	123	235
344	123	235
345	124	234
346	124	234
347	124	234
